Process_Id,Client_Id,Client_Segment,Recorded,Process_Name,Duration,Cost,Number_of_Errors
20,682Z80,Individual,2024-06-29 23:30,Deposit,5,13,0
21,340X66,Corporate,2024-06-29 23:15,Withdrawal,5,-5,0
22,172L75,Corporate,2024-06-29 23:07,Withdrawal,,0,0
23,193A83,Individual,2024-06-29 23:06,Loan,28,45,2
24,894V87,Corporate,2024-06-29 22:53,Deposit,9,,2
25,970B68,Corporate,2024-06-29 22:44,Deposit,,23,0
26,153N57,Corporate,2024-06-29 21:26,Withdrawal,12,11,0
27,445W55,Corporate,2024-06-29 20:11,Withdrawal,4,13,0
28,890G51,Corporate,2024-06-29 20:05,Deposit,8,37,0
29,795L49,Corporate,2024-06-29 18:04,Loan,35,50,1
30,942I13,Corporate,2024-06-29 17:32,Deposit,,18,4
31,318X11,Individual,2024-06-29 17:27,Loan,28,51,0
32,723L21,Individual,2024-06-29 16:47,Deposit,1,21,0
33,524U71,Corporate,2024-06-29 16:06,Deposit,8,19,0
34,102O16,Individual,2024-06-29 16:05,Loan,30,,2
35,186R82,Individual,2024-06-29 16:03,Loan,23,41,0
36,553X10,Individual,2024-06-29 15:22,Loan,37,57,0
37,933G30,Individual,2024-06-29 14:28,Loan,25,34,0
38,516J22,Individual,2024-06-29 14:17,Loan,22,,0
39,840Y21,Corporate,2024-06-29 14:10,Loan,34,61,0
40,131K99,Individual,2024-06-29 13:06,Loan,31,41,0
41,508Q45,Corporate,2024-06-29 12:39,Withdrawal,9,14,0
42,657O38,Corporate,2024-06-29 10:51,Deposit,7,,0
43,759Q24,Individual,2024-06-29 10:45,Loan,28,34,2
44,317D15,Individual,2024-06-29 10:39,Withdrawal,3,-10,1
45,312J26,Corporate,2024-06-29 10:29,Deposit,17,14,1
46,216A39,Corporate,2024-06-29 10:24,Deposit,14,35,1
47,556K23,Corporate,2024-06-29 9:47,Deposit,14,19,0
48,839I80,Corporate,2024-06-29 8:29,Withdrawal,18,11,0
49,155A55,Individual,2024-06-29 8:28,Withdrawal,-1,22,1
50,773T94,Corporate,2024-06-29 7:47,Deposit,5,21,0
51,972N90,Individual,2024-06-29 6:54,Withdrawal,9,7,1
52,345W21,Corporate,2024-06-29 6:37,Withdrawal,6,19,1
53,844M93,Individual,2024-06-29 5:35,Loan,29,49,0
54,920X62,Corporate,2024-06-29 4:33,Withdrawal,5,-3,0
55,153O22,Corporate,2024-06-29 3:25,Deposit,,696,1
56,880K70,Individual,2024-06-29 3:25,Deposit,13,,0
57,636C10,Corporate,2024-06-29 3:23,Withdrawal,,15,0
58,737Y86,Corporate,2024-06-29 3:14,Withdrawal,7,8,0
59,781Z49,Individual,2024-06-29 3:08,Deposit,15,190,2
60,125Z72,Individual,2024-06-29 2:59,Deposit,15,15,0
61,834W33,Corporate,2024-06-29 2:41,Withdrawal,4,7,0
62,660S93,Individual,2024-06-29 1:50,Withdrawal,9,3,0
63,634F30,Corporate,2024-06-29 1:29,Loan,25,51,1
64,866M73,Corporate,2024-06-29 1:05,Deposit,3,1,0
65,811C87,Corporate,2024-06-29 0:39,Withdrawal,7,16,0
66,422W53,Corporate,2024-06-29 0:10,Withdrawal,11,14,1
67,122A76,Corporate,2024-06-28 23:54,Withdrawal,,15,3
68,679L67,Individual,2024-06-28 23:24,Deposit,-1,16,0
69,862E28,Corporate,2024-06-28 23:15,Loan,29,61,0
70,348H41,Individual,2024-06-28 23:05,Withdrawal,0,3,1
71,811E85,Corporate,2024-06-28 22:41,Loan,32,44,0
72,582J93,Corporate,2024-06-28 21:57,Deposit,3,,2
73,351W76,Corporate,2024-06-28 21:42,Loan,25,,0
74,300P41,Corporate,2024-06-28 20:49,Loan,32,64,2
75,104G13,Individual,2024-06-28 20:26,Loan,25,56,0
76,967D17,Corporate,2024-06-28 20:24,Deposit,13,26,0
